key,value
সাইন ইন,Sign in
সাইন ইন করা নেই।,You are not signed in.
সাইন ইন করা নেই। আবার প্রবেশ করুন।,You are not signed in. Sign in again.
সাইন ইন করুন,Sign in
সাইন-ইন ছাড়া এগিয়ে যান,Continue without signing in
সাইন-ইন ছাড়া পরবর্তী,Next without signing in
সাদা / লাইট,White / light
সাধারণ,General
সাম্প্রতিক,Recent
সাম্প্রতিক আলোচনা,Recent discussions
সাম্প্রতিক পঠিত তালিকা মুছে ফেলুন,Clear the recently read list
সারসংক্ষেপ,Summary
সার্ভার জবাব: {1},Server reply: {1}
সার্ভার ত্রুটি ({1}),Server error ({1})
সাহিত্য,Literature
সিঙ্ক সম্পন্ন: অফলাইন আর্কাইভ প্রস্তুত।,Sync complete: the offline archive is ready.
সিস্টেম,System
সিস্টেম আপডেট,System update
সুদেষ্ণা,Sudeshna
সুদেষ্ণা সিংহ,Sudeshna Singha
সুপাবেজ (Supabase) এপিআই থেকে ডাটা লোড হচ্ছে...,Loading data from the Supabase API...
সুপাবেজ (Supabase) থেকে {1}টি প্রবন্ধ সিঙ্ক সম্পন্ন,Synced {1} articles from Supabase
সুপাবেজে নতুন ডাটা পাওয়া যায়নি; অফলাইন ক্যাশ ব্যবহার করা হচ্ছে।,No new data was found in Supabase; the offline cache is being used.
সেটিংস,Settings
সেপ্টে,Sep
সেপ্টেম্বর,September
সেপ্টেম্বর মাস,The month of September
সেরা অবদানকারী,Top contributor
সেশনের মেয়াদ শেষ হয়েছে। আবার প্রবেশ করুন।,The session has ended. Sign in again.
স্ক্রল,Scroll
স্ক্রল দৃশ্য  ·  চিমটি করে জুম,Scroll view  ·  pinch to zoom
স্ক্রল হ্যান্ডেল,Scroll handle
স্ক্রিন জ্বালিয়ে রাখুন,Keep the screen on
স্বাগতম। Google অ্যাকাউন্ট দিয়ে প্রবেশ করুন।,Welcome. Sign in with your Google account.
স্বাভাবিক আকারে ফিরতে দুই আঙুল টেনে ছোট করুন,Pinch in with two fingers to go back to the normal size
স্মারক,Memorial
স্মারক ও উৎসব,Memorial and festival
স্মৃতি,Memory
স্মৃতিচারণ,Reminiscence
স্লিপ টাইমার,Sleep timer
স্লিপ টাইমার {1} মিনিট,Sleep timer {1} minutes
স্লিপ টাইমার বন্ধ,Sleep timer off
স্লিপ টাইমার শেষ,Sleep timer finished
হাব্বি মন্তব্যহানি,All comments
হোলি কীর্তন,Holi kirtan
হ্যাঁ,Yes
১৬ মার্চ,16 March
১৯৯৬ সালের ১৬ মার্চের ভাষা আন্দোলনের পটভূমি কী ছিল?,What was the background of the language movement of 16 March 1996?
১–{1},1–{1}
৩টি প্রবন্ধ · ৫টি গান · ৯২০ পয়েন্ট,3 articles · 5 songs · 920 points
— শেষ —,— End —
❓ প্রশ্নোত্তর বিশ্লেষণ,❓ Question-and-answer analysis
🎯 লেখকের বক্তব্য,🎯 The author's statement
💡 মূল শিক্ষণীয় বিষয়,💡 Main lessons
📌 সম্পূর্ণ সারসংক্ষেপ,📌 Full summary
📎 পিডিএফ সংযুক্ত,📎 PDF attached
